district,rice_type_name,season_name,quantity_kg
Killinochchi,Samba,Maha 2024/2025,5868839
Batticaloa,Nadu,Maha 2024/2025,127709387
Batticaloa,Keeri Samba,Maha 2024/2025,14189932
Batticaloa,Samba,Maha 2024/2025,14827682
Ampara,Nadu,Maha 2024/2025,229636840
Ampara,Keeri Samba,Maha 2024/2025,25515204
Ampara,Samba,Maha 2024/2025,26661955
Trincomalee,Nadu,Maha 2024/2025,142829789
Trincomalee,Keeri Samba,Maha 2024/2025,15869977
Trincomalee,Samba,Maha 2024/2025,16583234
Kurunegala,Nadu,Maha 2024/2025,263903832
Kurunegala,Keeri Samba,Maha 2024/2025,29322648
Kurunegala,Samba,Maha 2024/2025,30640520
Puttalam,Nadu,Maha 2024/2025,54538077
Puttalam,Keeri Samba,Maha 2024/2025,6059786
Puttalam,Samba,Maha 2024/2025,6332136
Anuradhapura,Nadu,Maha 2024/2025,355265908
Anuradhapura,Keeri Samba,Maha 2024/2025,39473990
Anuradhapura,Samba,Maha 2024/2025,41248102
Polonnaruwa,Nadu,Maha 2024/2025,240634090
Polonnaruwa,Keeri Samba,Maha 2024/2025,26737121
Polonnaruwa,Samba,Maha 2024/2025,27938789
Badulla,Nadu,Maha 2024/2025,69611219
Badulla,Keeri Samba,Maha 2024/2025,7734580
Badulla,Samba,Maha 2024/2025,8082201
Monaragala,Nadu,Maha 2024/2025,118461626
Monaragala,Keeri Samba,Maha 2024/2025,13162403
Monaragala,Samba,Maha 2024/2025,13753972
Ratnapura,Nadu,Maha 2024/2025,36737625
Ratnapura,Keeri Samba,Maha 2024/2025,4081958
Ratnapura,Samba,Maha 2024/2025,4265417
Kegalle,Nadu,Maha 2024/2025,17526662
Kegalle,Keeri Samba,Maha 2024/2025,1947407
Kegalle,Samba,Maha 2024/2025,2034931
Colombo,Nadu,Yala 2024,2103949
Colombo,Keeri Samba,Yala 2024,233772
Colombo,Samba,Yala 2024,244279
Gampaha,Nadu,Yala 2024,11239260
Gampaha,Keeri Samba,Yala 2024,1248807
Gampaha,Samba,Yala 2024,1304933
Kalutara,Nadu,Yala 2024,12026408
Kalutara,Keeri Samba,Yala 2024,1336268
Kalutara,Samba,Yala 2024,1396325
Kandy,Nadu,Yala 2024,16292976
Kandy,Keeri Samba,Yala 2024,1810331
Kandy,Samba,Yala 2024,1891694
Matale,Nadu,Yala 2024,35183701
Matale,Keeri Samba,Yala 2024,3909300
Matale,Samba,Yala 2024,4084999
Nuwaraeliya,Nadu,Yala 2024,3821658
Nuwaraeliya,Keeri Samba,Yala 2024,424629
Nuwaraeliya,Samba,Yala 2024,443713
Galle,Nadu,Yala 2024,6240140
Galle,Keeri Samba,Yala 2024,693349
Galle,Samba,Yala 2024,724511
Matara,Nadu,Yala 2024,20116263
Matara,Keeri Samba,Yala 2024,2235140
Matara,Samba,Yala 2024,2335596
Hambantota,Nadu,Yala 2024,135022688
Hambantota,Keeri Samba,Yala 2024,15002521
Hambantota,Samba,Yala 2024,15676791
Mannar,Nadu,Yala 2024,5060234
Mannar,Keeri Samba,Yala 2024,562248
Mannar,Samba,Yala 2024,587518
Vavuniya,Nadu,Yala 2024,17707560
Vavuniya,Keeri Samba,Yala 2024,1967507
Vavuniya,Samba,Yala 2024,2055934
Mulativu,Nadu,Yala 2024,26484336
Mulativu,Keeri Samba,Yala 2024,2942704
Mulativu,Samba,Yala 2024,3074960
Killinochchi,Nadu,Yala 2024,28897114
Killinochchi,Keeri Samba,Yala 2024,3210790
Killinochchi,Samba,Yala 2024,3355096
Batticaloa,Nadu,Yala 2024,86852683
Batticaloa,Keeri Samba,Yala 2024,9650298
Batticaloa,Samba,Yala 2024,10084019
Ampara,Nadu,Yala 2024,272107767
Ampara,Keeri Samba,Yala 2024,30234196
Ampara,Samba,Yala 2024,31593037
Trincomalee,Nadu,Yala 2024,110049089
Trincomalee,Keeri Samba,Yala 2024,12227677
Trincomalee,Samba,Yala 2024,12777235
Kurunegala,Nadu,Yala 2024,171317033
Kurunegala,Keeri Samba,Yala 2024,19035226
Kurunegala,Samba,Yala 2024,19890742
Puttalam,Nadu,Yala 2024,37972126
Puttalam,Keeri Samba,Yala 2024,4219125
Puttalam,Samba,Yala 2024,4408749
Anuradhapura,Nadu,Yala 2024,196463380
Anuradhapura,Keeri Samba,Yala 2024,21829264
Anuradhapura,Samba,Yala 2024,22810355
Polonnaruwa,Nadu,Yala 2024,274443134
Polonnaruwa,Keeri Samba,Yala 2024,30493682
Polonnaruwa,Samba,Yala 2024,31864184
Badulla,Nadu,Yala 2024,42100984
Badulla,Keeri Samba,Yala 2024,4677887
Badulla,Samba,Yala 2024,4888129
Monaragala,Nadu,Yala 2024,56829443
Monaragala,Keeri Samba,Yala 2024,6314383
Monaragala,Samba,Yala 2024,6598175
Ratnapura,Nadu,Yala 2024,32672326
Ratnapura,Keeri Samba,Yala 2024,3630258
Ratnapura,Samba,Yala 2024,3793416
Kegalle,Nadu,Yala 2024,9548442
Kegalle,Keeri Samba,Yala 2024,1060938
Kegalle,Samba,Yala 2024,1108621
Colombo,Nadu,Maha 2023/2024,8594249
Colombo,Keeri Samba,Maha 2023/2024,954917
Colombo,Samba,Maha 2023/2024,997834
Gampaha,Nadu,Maha 2023/2024,22768608
Gampaha,Keeri Samba,Maha 2023/2024,2529845
Gampaha,Samba,Maha 2023/2024,2643546
Kalutara,Nadu,Maha 2023/2024,26190989
Kalutara,Keeri Samba,Maha 2023/2024,2910110
Kalutara,Samba,Maha 2023/2024,3040901
Kandy,Nadu,Maha 2023/2024,31682280
Kandy,Keeri Samba,Maha 2023/2024,3520253
Kandy,Samba,Maha 2023/2024,3678467
Matale,Nadu,Maha 2023/2024,59678982
Matale,Keeri Samba,Maha 2023/2024,6630998
Matale,Samba,Maha 2023/2024,6929020
Nuwaraeliya,Nadu,Maha 2023/2024,8803666
Nuwaraeliya,Keeri Samba,Maha 2023/2024,978185
Nuwaraeliya,Samba,Maha 2023/2024,1022149
Galle,Nadu,Maha 2023/2024,13021343
Galle,Keeri Samba,Maha 2023/2024,1446816
Galle,Samba,Maha 2023/2024,1511841
Matara,Nadu,Maha 2023/2024,20723329
Matara,Keeri Samba,Maha 2023/2024,2302592
Matara,Samba,Maha 2023/2024,2406079
Hambantota,Nadu,Maha 2023/2024,145086931
Hambantota,Keeri Samba,Maha 2023/2024,16120770
Hambantota,Samba,Maha 2023/2024,16845299
Jaffna,Nadu,Maha 2023/2024,22067020
Jaffna,Keeri Samba,Maha 2023/2024,2451891
Jaffna,Samba,Maha 2023/2024,2562089
Mannar,Nadu,Maha 2023/2024,94198578
Mannar,Keeri Samba,Maha 2023/2024,10466509
Mannar,Samba,Maha 2023/2024,10936914
Vavuniya,Nadu,Maha 2023/2024,67925289
Vavuniya,Keeri Samba,Maha 2023/2024,7547254
Vavuniya,Samba,Maha 2023/2024,7886457
Mulativu,Nadu,Maha 2023/2024,53377727
Mulativu,Keeri Samba,Maha 2023/2024,5930859
Mulativu,Samba,Maha 2023/2024,6197414
Killinochchi,Nadu,Maha 2023/2024,40330309
Killinochchi,Keeri Samba,Maha 2023/2024,4481145
Killinochchi,Samba,Maha 2023/2024,4682545
Batticaloa,Nadu,Maha 2023/2024,116134407
Batticaloa,Keeri Samba,Maha 2023/2024,12903823
Batticaloa,Samba,Maha 2023/2024,17983770
Ampara,Nadu,Maha 2023/2024,217579468
Ampara,Keeri Samba,Maha 2023/2024,24175496
Ampara,Samba,Maha 2023/2024,25262036
Trincomalee,Nadu,Maha 2023/2024,125127119
Trincomalee,Keeri Samba,Maha 2023/2024,13903013
Trincomalee,Samba,Maha 2023/2024,14527868
Kurunegala,Nadu,Maha 2023/2024,218571143
Kurunegala,Keeri Samba,Maha 2023/2024,24285683
Kurunegala,Samba,Maha 2023/2024,25377174
Puttalam,Nadu,Maha 2023/2024,51905289
Puttalam,Keeri Samba,Maha 2023/2024,5767254
Puttalam,Samba,Maha 2023/2024,6026457
Anuradhapura,Nadu,Maha 2023/2024,380597228
Anuradhapura,Keeri Samba,Maha 2023/2024,42288581
Anuradhapura,Samba,Maha 2023/2024,44189191
Polonnaruwa,Nadu,Maha 2023/2024,236462860
Polonnaruwa,Keeri Samba,Maha 2023/2024,26273651
Polonnaruwa,Samba,Maha 2023/2024,27454489
Badulla,Nadu,Maha 2023/2024,81100639
Badulla,Keeri Samba,Maha 2023/2024,9011182
Badulla,Samba,Maha 2023/2024,9416179
Monaragala,Nadu,Maha 2023/2024,120654394
Monaragala,Keeri Samba,Maha 2023/2024,13406044
Monaragala,Samba,Maha 2023/2024,14008563
Ratnapura,Nadu,Maha 2023/2024,38480594
Ratnapura,Keeri Samba,Maha 2023/2024,4275622
Ratnapura,Samba,Maha 2023/2024,4467784
Kegalle,Nadu,Maha 2023/2024,16931820
Kegalle,Keeri Samba,Maha 2023/2024,1881313
Kegalle,Samba,Maha 2023/2024,1965867
Colombo,Nadu,Yala 2023,3637502
Colombo,Keeri Samba,Yala 2023,404167
Colombo,Samba,Yala 2023,422332
Gampaha,Nadu,Yala 2023,14994101
Gampaha,Keeri Samba,Yala 2023,1666011
Gampaha,Samba,Yala 2023,1740888
Kalutara,Nadu,Yala 2023,17041010
Kalutara,Keeri Samba,Yala 2023,1893446
Kalutara,Samba,Yala 2023,1978544
Kandy,Nadu,Yala 2023,23903698
Kandy,Keeri Samba,Yala 2023,2655966
Kandy,Samba,Yala 2023,2775336
Matale,Nadu,Yala 2023,33701484
Matale,Keeri Samba,Yala 2023,3744609
Matale,Samba,Yala 2023,3912906
Nuwaraeliya,Nadu,Yala 2023,4606361
Nuwaraeliya,Keeri Samba,Yala 2023,511818
Nuwaraeliya,Samba,Yala 2023,534821
Galle,Nadu,Yala 2023,6948247
Galle,Keeri Samba,Yala 2023,772027
Galle,Samba,Yala 2023,806725
Matara,Nadu,Yala 2023,18732644
Matara,Keeri Samba,Yala 2023,2081405
Matara,Samba,Yala 2023,2174951
Hambantota,Nadu,Yala 2023,119221068
Hambantota,Keeri Samba,Yala 2023,13246785
Hambantota,Samba,Yala 2023,13842146
Mannar,Nadu,Yala 2023,8896560
Mannar,Keeri Samba,Yala 2023,988507
Mannar,Samba,Yala 2023,1032934
Vavuniya,Nadu,Yala 2023,17309911
Vavuniya,Keeri Samba,Yala 2023,1923323
Vavuniya,Samba,Yala 2023,2009765
Mulativu,Nadu,Yala 2023,19534459
Mulativu,Keeri Samba,Yala 2023,2170495
Mulativu,Samba,Yala 2023,2268046
Killinochchi,Nadu,Yala 2023,19845732
Killinochchi,Keeri Samba,Yala 2023,2205081
Killinochchi,Samba,Yala 2023,2304186
Batticaloa,Nadu,Yala 2023,85857748
Batticaloa,Keeri Samba,Yala 2023,9539750
Batticaloa,Samba,Yala 2023,9968503
Ampara,Nadu,Yala 2023,213440832
Ampara,Keeri Samba,Yala 2023,23715648
Ampara,Samba,Yala 2023,24781520
Trincomalee,Nadu,Yala 2023,103467525
Trincomalee,Keeri Samba,Yala 2023,11496392
Trincomalee,Samba,Yala 2023,12013083
Kurunegala,Nadu,Yala 2023,168097550
Kurunegala,Keeri Samba,Yala 2023,18677506
Kurunegala,Samba,Yala 2023,19516944
Puttalam,Nadu,Yala 2023,45576330
Puttalam,Keeri Samba,Yala 2023,5064037
Puttalam,Samba,Yala 2023,5291634
Anuradhapura,Nadu,Yala 2023,182788526
Anuradhapura,Keeri Samba,Yala 2023,20309836
Anuradhapura,Samba,Yala 2023,21222638
Polonnaruwa,Nadu,Yala 2023,233948225
Polonnaruwa,Keeri Samba,Yala 2023,25994247
Polonnaruwa,Samba,Yala 2023,27162528
Badulla,Nadu,Yala 2023,41559922
Badulla,Keeri Samba,Yala 2023,4617769
Badulla,Samba,Yala 2023,4885309
Monaragala,Nadu,Yala 2023,53019192
Monaragala,Keeri Samba,Yala 2023,5891021
Monaragala,Samba,Yala 2023,6155786
Ratnapura,Nadu,Yala 2023,30287252
Ratnapura,Keeri Samba,Yala 2023,3365250
Ratnapura,Samba,Yala 2023,3516497
Kegalle,Nadu,Yala 2023,14489707
Kegalle,Keeri Samba,Yala 2023,1609967
Kegalle,Samba,Yala 2023,1682326
Colombo,Nadu,Maha 2022/2023,8329422
Colombo,Keeri Samba,Maha 2022/2023,925491
Colombo,Samba,Maha 2022/2023,967086
Gampaha,Nadu,Maha 2022/2023,29262168
Gampaha,Keeri Samba,Maha 2022/2023,3251352
Gampaha,Samba,Maha 2022/2023,3397480
Kalutara,Nadu,Maha 2022/2023,26868131
Kalutara,Keeri Samba,Maha 2022/2023,2985348
Kalutara,Samba,Maha 2022/2023,3119521
Kandy,Nadu,Maha 2022/2023,30640898
Kandy,Keeri Samba,Maha 2022/2023,3404544
Kandy,Samba,Maha 2022/2023,3557557
Matale,Nadu,Maha 2022/2023,62632822
Matale,Keeri Samba,Maha 2022/2023,6959202
Matale,Samba,Maha 2022/2023,7271976
Nuwaraeliya,Nadu,Maha 2022/2023,8880262
Nuwaraeliya,Keeri Samba,Maha 2022/2023,986696
Nuwaraeliya,Samba,Maha 2022/2023,1031042
Galle,Nadu,Maha 2022/2023,19395934
Galle,Keeri Samba,Maha 2022/2023,2155104
Galle,Samba,Maha 2022/2023,2251962
Matara,Nadu,Maha 2022/2023,31684724
Matara,Keeri Samba,Maha 2022/2023,3520525
Matara,Samba,Maha 2022/2023,3678751
Hambantota,Nadu,Maha 2022/2023,145155378
Hambantota,Keeri Samba,Maha 2022/2023,16128375
Hambantota,Samba,Maha 2022/2023,16853246
Jaffna,Nadu,Maha 2022/2023,23523977
Jaffna,Keeri Samba,Maha 2022/2023,2613775
Jaffna,Samba,Maha 2022/2023,2731248
Mannar,Nadu,Maha 2022/2023,60167893
Mannar,Keeri Samba,Maha 2022/2023,6685321
Mannar,Samba,Maha 2022/2023,6985785
Vavuniya,Nadu,Maha 2022/2023,50603155
Vavuniya,Keeri Samba,Maha 2022/2023,5622573
Vavuniya,Samba,Maha 2022/2023,5875273
Mulativu,Nadu,Maha 2022/2023,62152059
Mulativu,Keeri Samba,Maha 2022/2023,6905784
Mulativu,Samba,Maha 2022/2023,7216157
Killinochchi,Nadu,Maha 2022/2023,64817442
Killinochchi,Keeri Samba,Maha 2022/2023,7201938
Killinochchi,Samba,Maha 2022/2023,7525621
Batticaloa,Nadu,Maha 2022/2023,158628150
Batticaloa,Keeri Samba,Maha 2022/2023,17625350
Batticaloa,Samba,Maha 2022/2023,17917501
Ampara,Nadu,Maha 2022/2023,259544371
Ampara,Keeri Samba,Maha 2022/2023,28838263
Ampara,Samba,Maha 2022/2023,30134365
Trincomalee,Nadu,Maha 2022/2023,115401855
Trincomalee,Keeri Samba,Maha 2022/2023,12822428
Trincomalee,Samba,Maha 2022/2023,13398717
Kurunegala,Nadu,Maha 2022/2023,238526066
Kurunegala,Keeri Samba,Maha 2022/2023,26502896
Kurunegala,Samba,Maha 2022/2023,27694038
Puttalam,Nadu,Maha 2022/2023,47062621
Puttalam,Keeri Samba,Maha 2022/2023,5229180
Puttalam,Samba,Maha 2022/2023,5464199
Anuradhapura,Nadu,Maha 2022/2023,295986204
Anuradhapura,Keeri Samba,Maha 2022/2023,32887356
Anuradhapura,Samba,Maha 2022/2023,34365439
Polonnaruwa,Nadu,Maha 2022/2023,221080074
Polonnaruwa,Keeri Samba,Maha 2022/2023,24564453
Polonnaruwa,Samba,Maha 2022/2023,25668473
Badulla,Nadu,Maha 2022/2023,65312057
Badulla,Keeri Samba,Maha 2022/2023,7256895
Badulla,Samba,Maha 2022/2023,7583048
Monaragala,Nadu,Maha 2022/2023,113711036
Monaragala,Keeri Samba,Maha 2022/2023,12634560
Monaragala,Samba,Maha 2022/2023,13202405
Ratnapura,Nadu,Maha 2022/2023,38025906
Ratnapura,Keeri Samba,Maha 2022/2023,4225101
Ratnapura,Samba,Maha 2022/2023,4414993
Kegalle,Nadu,Maha 2022/2023,19482308
Kegalle,Keeri Samba,Maha 2022/2023,2164701
Kegalle,Samba,Maha 2022/2023,2261991
Colombo,Nadu,Yala 2022,4409982
Colombo,Keeri Samba,Yala 2022,489998
Colombo,Samba,Yala 2022,512020
Gampaha,Nadu,Yala 2022,16984785
Gampaha,Keeri Samba,Yala 2022,1887198
Gampaha,Samba,Yala 2022,1972016
Kalutara,Nadu,Yala 2022,18672345
Kalutara,Keeri Samba,Yala 2022,2074705
Kalutara,Samba,Yala 2022,2167950
Kandy,Nadu,Yala 2022,20976748
Kandy,Keeri Samba,Yala 2022,2330750
Kandy,Samba,Yala 2022,2435503
Matale,Nadu,Yala 2022,25730597
Matale,Keeri Samba,Yala 2022,2858955
Matale,Samba,Yala 2022,2987448
Nuwaraeliya,Nadu,Yala 2022,4883411
Nuwaraeliya,Keeri Samba,Yala 2022,542601
Nuwaraeliya,Samba,Yala 2022,566988
Galle,Nadu,Yala 2022,14582600
Galle,Keeri Samba,Yala 2022,1620289
Galle,Samba,Yala 2022,1693111
Matara,Nadu,Yala 2022,22960914
Matara,Keeri Samba,Yala 2022,2551213
Matara,Samba,Yala 2022,2665874
Hambantota,Nadu,Yala 2022,108371307
Hambantota,Keeri Samba,Yala 2022,12041256
Hambantota,Samba,Yala 2022,12582436
Mannar,Nadu,Yala 2022,6058428
Mannar,Keeri Samba,Yala 2022,673159
Mannar,Samba,Yala 2022,703413
Vavuniya,Nadu,Yala 2022,18321958
Vavuniya,Keeri Samba,Yala 2022,2035773
Vavuniya,Samba,Yala 2022,2127269
Mulativu,Nadu,Yala 2022,18849168
Mulativu,Keeri Samba,Yala 2022,2094352
Mulativu,Samba,Yala 2022,2188480
Killinochchi,Nadu,Yala 2022,21988795
Killinochchi,Keeri Samba,Yala 2022,2443199
Killinochchi,Samba,Yala 2022,2553006
Batticaloa,Nadu,Yala 2022,60885778
Batticaloa,Keeri Samba,Yala 2022,6765086
Batticaloa,Samba,Yala 2022,7069135
Ampara,Nadu,Yala 2022,180896438
Ampara,Keeri Samba,Yala 2022,20099604
Ampara,Samba,Yala 2022,21002957
Trincomalee,Nadu,Yala 2022,74644563
Trincomalee,Keeri Samba,Yala 2022,8293840
Trincomalee,Samba,Yala 2022,8666597
Kurunegala,Nadu,Yala 2022,127934286
Kurunegala,Keeri Samba,Yala 2022,14214921
Kurunegala,Samba,Yala 2022,14853793
Puttalam,Nadu,Yala 2022,25389174
Puttalam,Keeri Samba,Yala 2022,2821019
Puttalam,Samba,Yala 2022,2947807
Anuradhapura,Nadu,Yala 2022,127347592
Anuradhapura,Keeri Samba,Yala 2022,14149732
Anuradhapura,Samba,Yala 2022,14785675
Polonnaruwa,Nadu,Yala 2022,181234602
Polonnaruwa,Keeri Samba,Yala 2022,20137178
Polonnaruwa,Samba,Yala 2022,21042220
Badulla,Nadu,Yala 2022,29213277
Badulla,Keeri Samba,Yala 2022,3245920
Badulla,Samba,Yala 2022,3391804
Monaragala,Nadu,Yala 2022,42090391
Monaragala,Keeri Samba,Yala 2022,4676710
Monaragala,Samba,Yala 2022,4886899
Ratnapura,Nadu,Yala 2022,26780127
Ratnapura,Keeri Samba,Yala 2022,2975570
Ratnapura,Samba,Yala 2022,3109303
Kegalle,Nadu,Yala 2022,11842251
Kegalle,Keeri Samba,Yala 2022,1315806
Kegalle,Samba,Yala 2022,1374943
Colombo,Nadu,Maha 2021/2022,6654085
Colombo,Keeri Samba,Maha 2021/2022,739343
Colombo,Samba,Maha 2021/2022,772572
Gampaha,Nadu,Maha 2021/2022,22049094
Gampaha,Keeri Samba,Maha 2021/2022,2449899
Gampaha,Samba,Maha 2021/2022,2560007
Kalutara,Nadu,Maha 2021/2022,22285401
Kalutara,Keeri Samba,Maha 2021/2022,2476156
Kalutara,Samba,Maha 2021/2022,2587444
Kandy,Nadu,Maha 2021/2022,25432361
Kandy,Keeri Samba,Maha 2021/2022,2825818
Kandy,Samba,Maha 2021/2022,2952821
Matale,Nadu,Maha 2021/2022,48737957
Matale,Keeri Samba,Maha 2021/2022,5415329
Matale,Samba,Maha 2021/2022,5658714
Nuwaraeliya,Nadu,Maha 2021/2022,9066049
Nuwaraeliya,Keeri Samba,Maha 2021/2022,1007339
Nuwaraeliya,Samba,Maha 2021/2022,1052612
Galle,Nadu,Maha 2021/2022,17507921
Galle,Keeri Samba,Maha 2021/2022,1945325
Galle,Samba,Maha 2021/2022,2032755
Matara,Nadu,Maha 2021/2022,23435973
Matara,Keeri Samba,Maha 2021/2022,2603997
Matara,Samba,Maha 2021/2022,2721031
Hambantota,Nadu,Maha 2021/2022,101750631
Hambantota,Keeri Samba,Maha 2021/2022,11305626
Hambantota,Samba,Maha 2021/2022,11813744
Jaffna,Nadu,Maha 2021/2022,12233380
Jaffna,Keeri Samba,Maha 2021/2022,1359264
Jaffna,Samba,Maha 2021/2022,1420355
Mannar,Nadu,Maha 2021/2022,41782376
Mannar,Keeri Samba,Maha 2021/2022,4642486
Mannar,Samba,Maha 2021/2022,4851137
Vavuniya,Nadu,Maha 2021/2022,34404702
Vavuniya,Keeri Samba,Maha 2021/2022,3822745
Vavuniya,Samba,Maha 2021/2022,3994553
Mulativu,Nadu,Maha 2021/2022,35128291
Mulativu,Keeri Samba,Maha 2021/2022,3903143
Mulativu,Samba,Maha 2021/2022,4078566
Killinochchi,Nadu,Maha 2021/2022,49230943
Killinochchi,Keeri Samba,Maha 2021/2022,5470105
Killinochchi,Samba,Maha 2021/2022,5715952
Batticaloa,Nadu,Maha 2021/2022,78431997
Batticaloa,Keeri Samba,Maha 2021/2022,8714666
Batticaloa,Samba,Maha 2021/2022,9106337
Ampara,Nadu,Maha 2021/2022,180513458
Ampara,Keeri Samba,Maha 2021/2022,20057051
Ampara,Samba,Maha 2021/2022,20958491
Trincomalee,Nadu,Maha 2021/2022,79859619
Trincomalee,Keeri Samba,Maha 2021/2022,8873291
Trincomalee,Samba,Maha 2021/2022,9272091
Kurunegala,Nadu,Maha 2021/2022,212107733
Kurunegala,Keeri Samba,Maha 2021/2022,23567526
Kurunegala,Samba,Maha 2021/2022,24626741
Puttalam,Nadu,Maha 2021/2022,32581877
Puttalam,Keeri Samba,Maha 2021/2022,3620209
Puttalam,Samba,Maha 2021/2022,3782915
Anuradhapura,Nadu,Maha 2021/2022,212226702
Anuradhapura,Keeri Samba,Maha 2021/2022,23580745
Anuradhapura,Samba,Maha 2021/2022,24640553
Polonnaruwa,Nadu,Maha 2021/2022,148814881
Polonnaruwa,Keeri Samba,Maha 2021/2022,16534987
Polonnaruwa,Samba,Maha 2021/2022,17278132
Badulla,Nadu,Maha 2021/2022,50700937
Badulla,Keeri Samba,Maha 2021/2022,5633437
Badulla,Samba,Maha 2021/2022,5886626
Monaragala,Nadu,Maha 2021/2022,81535770
Monaragala,Keeri Samba,Maha 2021/2022,9059530
Monaragala,Samba,Maha 2021/2022,9466700
Ratnapura,Nadu,Maha 2021/2022,30393183
Ratnapura,Keeri Samba,Maha 2021/2022,3377020
Ratnapura,Samba,Maha 2021/2022,3528797
Kegalle,Nadu,Maha 2021/2022,16802258
Kegalle,Keeri Samba,Maha 2021/2022,1866918
Kegalle,Samba,Maha 2021/2022,1950824
Colombo,Nadu,Yala 2021,3991962
Colombo,Keeri Samba,Yala 2021,443551
Colombo,Samba,Yala 2021,463486
Gampaha,Nadu,Yala 2021,17591036
Gampaha,Keeri Samba,Yala 2021,1954560
Gampaha,Samba,Yala 2021,2042405
Kalutara,Nadu,Yala 2021,21605814
Kalutara,Keeri Samba,Yala 2021,2400646
Kalutara,Samba,Yala 2021,2508540
Kandy,Nadu,Yala 2021,17567405
Kandy,Keeri Samba,Yala 2021,1951934
Kandy,Samba,Yala 2021,2039661
Matale,Nadu,Yala 2021,41895641
Matale,Keeri Samba,Yala 2021,4655071
Matale,Samba,Yala 2021,4864288
Nuwaraeliya,Nadu,Yala 2021,4628362
Nuwaraeliya,Keeri Samba,Yala 2021,514262
Nuwaraeliya,Samba,Yala 2021,537375
Galle,Nadu,Yala 2021,15378711
Galle,Keeri Samba,Yala 2021,1708746
Galle,Samba,Yala 2021,1785543
Matara,Nadu,Yala 2021,33235389
Matara,Keeri Samba,Yala 2021,3692821
Matara,Samba,Yala 2021,3858790
Hambantota,Nadu,Yala 2021,142754008
Hambantota,Keeri Samba,Yala 2021,15861556
Hambantota,Samba,Yala 2021,16574435
Mannar,Nadu,Yala 2021,10479003
Mannar,Keeri Samba,Yala 2021,1164334
Mannar,Samba,Yala 2021,1216663
Vavuniya,Nadu,Yala 2021,21679965
Vavuniya,Keeri Samba,Yala 2021,2408885
Vavuniya,Samba,Yala 2021,2517150
Mulativu,Nadu,Yala 2021,30012647
Mulativu,Keeri Samba,Yala 2021,3334739
Mulativu,Samba,Yala 2021,3484614
Killinochchi,Nadu,Yala 2021,33643630
Killinochchi,Keeri Samba,Yala 2021,3738181
Killinochchi,Samba,Yala 2021,3906189
Batticaloa,Nadu,Yala 2021,95625385
Batticaloa,Keeri Samba,Yala 2021,10625043
Batticaloa,Samba,Yala 2021,11102573
Ampara,Nadu,Yala 2021,255625746
Ampara,Keeri Samba,Yala 2021,28402861
Ampara,Samba,Yala 2021,29679394
Trincomalee,Nadu,Yala 2021,100626949
Trincomalee,Keeri Samba,Yala 2021,11180772
Trincomalee,Samba,Yala 2021,11683279
Kurunegala,Nadu,Yala 2021,222920826
Kurunegala,Keeri Samba,Yala 2021,24768981
Kurunegala,Samba,Yala 2021,25882193
Puttalam,Nadu,Yala 2021,47854657
Puttalam,Keeri Samba,Yala 2021,5317184
Puttalam,Samba,Yala 2021,5556159
Anuradhapura,Nadu,Yala 2021,190633111
Anuradhapura,Keeri Samba,Yala 2021,21181457
Anuradhapura,Samba,Yala 2021,22133432
